"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"03.10.2022 10:36:00 - 10:37:00","44837.2340277778","25 869 588 KByte","26490458177.1312","3 532 061 kbit/s","441507636.2855","24 872 340 KByte","25469276671.8306","3 395 904 kbit/s","424487944.5305","997 248 KByte","1021181505.3007","136 158 kbit/s","17019691.7550","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:37:00 - 10:38:00","44837.2347222222","27 154 602 KByte","27806312844.4743","3 708 126 kbit/s","463515800.0412","26 115 937 KByte","26742719990.7349","3 566 290 kbit/s","445786297.5618","1 038 665 KByte","1063592853.7394","141 836 kbit/s","17729502.4794","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:38:00 - 10:39:00","44837.2354166667","26 836 469 KByte","27480544269.4256","3 664 073 kbit/s","458009071.1571","25 808 194 KByte","26427590809.1603","3 523 679 kbit/s","440459846.8193","1 028 275 KByte","1052953460.2653","140 394 kbit/s","17549224.3378","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:39:00 - 10:40:00","44837.2361111111","26 944 212 KByte","27590872886.6183","3 679 396 kbit/s","459924535.5329","25 917 788 KByte","26539815066.7930","3 539 232 kbit/s","442403985.1107","1 026 424 KByte","1051057819.8253","140 164 kbit/s","17520550.4222","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:40:00 - 10:41:00","44837.2368055556","27 881 994 KByte","28551161773.1220","3 806 822 kbit/s","475852696.2187","26 827 383 KByte","27471239714.8521","3 662 832 kbit/s","457853995.2475","1 054 611 KByte","1079922058.2699","143 990 kbit/s","17998700.9712","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:41:00 - 10:42:00","44837.2375000000","28 152 971 KByte","28828642393.1077","3 844 460 kbit/s","480557466.1295","27 092 573 KByte","27742794445.7582","3 699 656 kbit/s","462456983.5932","1 060 398 KByte","1085847947.3495","144 804 kbit/s","18100482.5362","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:42:00 - 10:43:00","44837.2381944444","26 906 920 KByte","27552686368.7192","3 673 692 kbit/s","459211439.4787","25 898 382 KByte","26519943296.1789","3 535 992 kbit/s","441999054.9363","1 008 538 KByte","1032743072.5403","137 699 kbit/s","17212384.5423","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:43:00 - 10:44:00","44837.2388888889","27 611 486 KByte","28274161635.4421","3 770 517 kbit/s","471314579.6873","26 575 815 KByte","27213634482.5449","3 629 089 kbit/s","453636180.7392","1 035 671 KByte","1060527152.8971","141 427 kbit/s","17678398.9481","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:44:00 - 10:45:00","44837.2395833333","28 877 735 KByte","29570800964.6686","3 942 773 kbit/s","492846682.7445","27 790 058 KByte","28457019240.9892","3 794 269 kbit/s","474283654.0165","1 087 677 KByte","1113781723.6794","148 504 kbit/s","18563028.7280","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:45:00 - 10:46:00","44837.2402777778","28 811 161 KByte","29502628562.1782","3 934 340 kbit/s","491792441.4432","27 724 099 KByte","28389477614.3010","3 785 895 kbit/s","473236833.0439","1 087 061 KByte","1113150947.8772","148 445 kbit/s","18555608.3994","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:46:00 - 10:47:00","44837.2409722222","28 759 711 KByte","29449944024.1510","3 927 314 kbit/s","490914219.4391","27 677 198 KByte","28341450395.5785","3 779 490 kbit/s","472436245.9673","1 082 513 KByte","1108493628.5725","147 824 kbit/s","18477973.4718","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:47:00 - 10:48:00","44837.2416666667","28 488 664 KByte","29172391994.2480","3 889 652 kbit/s","486206533.2375","27 405 448 KByte","28063178926.0590","3 741 757 kbit/s","467719648.7676","1 083 216 KByte","1109213068.1890","147 895 kbit/s","18486884.4698","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:48:00 - 10:49:00","44837.2423611111","28 439 063 KByte","29121600135.7670","3 883 527 kbit/s","485440909.0810","27 348 242 KByte","28004599473.8555","3 734 569 kbit/s","466821128.0856","1 090 821 KByte","1117000661.9115","148 958 kbit/s","18619780.9954","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:49:00 - 10:50:00","44837.2430555556","27 300 301 KByte","27955508381.2770","3 727 401 kbit/s","465925139.6880","26 259 496 KByte","26889723791.7870","3 585 297 kbit/s","448162063.1964","1 040 805 KByte","1065784589.4900","142 105 kbit/s","17763076.4915","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:50:00 - 10:51:00","44837.2437500000","27 999 408 KByte","28671393574.7519","3 823 490 kbit/s","477936215.6151","26 938 557 KByte","27585082797.1413","3 678 624 kbit/s","459828017.9553","1 060 850 KByte","1086310777.6106","144 866 kbit/s","18108197.6598","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:51:00 - 10:52:00","44837.2444444444","28 860 797 KByte","29553456172.0385","3 940 461 kbit/s","492557602.8673","27 758 682 KByte","28424890222.7892","3 789 985 kbit/s","473748170.3798","1 102 115 KByte","1128565949.2494","150 475 kbit/s","18809432.4875","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:52:00 - 10:53:00","44837.2451388889","29 091 024 KByte","29789208938.3874","3 972 557 kbit/s","496569577.2360","27 980 851 KByte","28652391204.4448","3 820 956 kbit/s","477619456.6502","1 110 174 KByte","1136817733.9427","151 601 kbit/s","18950120.5858","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:53:00 - 10:54:00","44837.2458333333","29 037 514 KByte","29734414260.3158","3 964 589 kbit/s","495573571.0053","27 933 752 KByte","28604162017.3614","3 813 888 kbit/s","476736033.6227","1 103 762 KByte","1130252242.9544","150 700 kbit/s","18837537.3826","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:54:00 - 10:55:00","44837.2465277778","28 495 527 KByte","29179419551.0100","3 891 238 kbit/s","486404726.6379","27 400 525 KByte","28058138056.6837","3 741 709 kbit/s","467713586.5425","1 095 001 KByte","1121281494.3263","149 529 kbit/s","18691140.0955","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:55:00 - 10:56:00","44837.2472222222","28 768 673 KByte","29459121358.0666","3 928 538 kbit/s","491067200.5012","27 663 690 KByte","28327619059.8762","3 777 645 kbit/s","472205685.2788","1 104 983 KByte","1131502298.1903","150 892 kbit/s","18861515.2224","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:56:00 - 10:57:00","44837.2479166667","27 658 219 KByte","28322016448.5838","3 776 269 kbit/s","472033607.4764","26 604 638 KByte","27243149546.8995","3 632 420 kbit/s","454052492.4483","1 053 581 KByte","1078866901.6843","143 849 kbit/s","17981115.0281","0 %","0.0000","100 %","0000010000"
"03.10.2022 10:57:00 - 10:58:00","44837.2486111111","28 483 159 KByte","29166754575.3557","3 889 549 kbit/s","486193608.5240","27 404 212 KByte","28061913518.7408","3 742 212 kbit/s","467776521.3992","1 078 946 KByte","1104841056.6149","147 337 kbit/s","18417087.1248","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:58:00 - 10:59:00","44837.2493055556","29 582 182 KByte","30292154677.5963","4 039 627 kbit/s","504953403.5272","28 457 068 KByte","29140037762.2391","3 885 986 kbit/s","485748254.0797","1 125 114 KByte","1152116915.3571","153 641 kbit/s","19205149.4475","0 %","0.0000","100 %","0000009998"
"03.10.2022 10:59:00 - 11:00:00","44837.2500000000","28 854 168 KByte","29546668001.7350","3 939 556 kbit/s","492444466.6956","27 751 802 KByte","28417845533.6700","3 789 046 kbit/s","473630758.8945","1 102 366 KByte","1128822468.0650","150 510 kbit/s","18813707.8011","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:00:00 - 11:01:00","44837.2506944444","28 537 873 KByte","29222782158.0813","3 896 371 kbit/s","487046369.3014","27 445 892 KByte","28104593313.2512","3 747 279 kbit/s","468409888.5542","1 091 981 KByte","1118188844.8301","149 092 kbit/s","18636480.7472","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:01:00 - 11:02:00","44837.2513888889","28 721 386 KByte","29410699183.9287","3 922 080 kbit/s","490260029.7371","27 625 851 KByte","28288871372.6808","3 772 478 kbit/s","471559782.8418","1 095 535 KByte","1121827811.2479","149 602 kbit/s","18700246.8953","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:02:00 - 11:03:00","44837.2520833333","28 513 483 KByte","29197806205.1370","3 893 041 kbit/s","486630103.4189","27 424 923 KByte","28083121211.6420","3 744 416 kbit/s","468052020.1940","1 088 560 KByte","1114684993.4950","148 625 kbit/s","18578083.2249","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:03:00 - 11:04:00","44837.2527777778","26 893 410 KByte","27538851939.7930","3 671 847 kbit/s","458980865.6632","25 858 334 KByte","26478934286.8410","3 530 525 kbit/s","441315571.4474","1 035 076 KByte","1059917652.9520","141 322 kbit/s","17665294.2159","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:04:00 - 11:05:00","44837.2534722222","26 964 532 KByte","27611680267.6430","3 681 557 kbit/s","460194671.1274","25 931 157 KByte","26553505123.8109","3 540 467 kbit/s","442558418.7302","1 033 374 KByte","1058175143.8322","141 090 kbit/s","17636252.3972","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:05:00 - 11:06:00","44837.2541666667","28 084 182 KByte","28758202600.2764","3 835 066 kbit/s","479383273.8836","27 015 354 KByte","27663722491.5958","3 689 111 kbit/s","461138898.0096","1 068 828 KByte","1094480108.6806","145 955 kbit/s","18244375.8740","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:06:00 - 11:07:00","44837.2548611111","28 426 136 KByte","29108363439.0970","3 881 115 kbit/s","485139390.6516","27 346 569 KByte","28002886565.6804","3 733 718 kbit/s","466714776.0947","1 079 567 KByte","1105476873.4166","147 397 kbit/s","18424614.5569","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:07:00 - 11:08:00","44837.2555555556","28 539 181 KByte","29224121339.2926","3 896 550 kbit/s","487068688.9882","27 451 214 KByte","28110043235.4019","3 748 006 kbit/s","468500720.5900","1 087 967 KByte","1114078103.8907","148 544 kbit/s","18567968.3982","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:08:00 - 11:09:00","44837.2562500000","29 479 970 KByte","30187489163.5657","4 024 999 kbit/s","503124819.3928","28 363 070 KByte","29043783242.4451","3 872 504 kbit/s","484063054.0408","1 116 900 KByte","1143705921.1207","152 494 kbit/s","19061765.3520","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:09:00 - 11:10:00","44837.2569444444","29 697 304 KByte","30410039670.3816","4 054 672 kbit/s","506833994.5064","28 569 607 KByte","29255277391.2269","3 900 704 kbit/s","487587956.5204","1 127 698 KByte","1154762279.1547","153 968 kbit/s","19246037.9859","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:10:00 - 11:11:00","44837.2576388889","27 863 911 KByte","28532645246.9520","3 804 353 kbit/s","475544087.4492","26 799 136 KByte","27442315372.7718","3 658 975 kbit/s","457371922.8795","1 064 775 KByte","1090329874.1803","145 377 kbit/s","18172164.5697","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:11:00 - 11:12:00","44837.2583333333","28 499 544 KByte","29183532871.8976","3 891 138 kbit/s","486392214.5316","27 409 591 KByte","28067421448.0512","3 742 323 kbit/s","467790357.4675","1 089 953 KByte","1116111423.8464","148 815 kbit/s","18601857.0641","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:12:00 - 11:13:00","44837.2590277778","29 333 516 KByte","30037520245.0120","4 005 670 kbit/s","500708788.8817","28 211 026 KByte","28888090889.1901","3 852 388 kbit/s","481548439.5598","1 122 490 KByte","1149429355.8220","153 283 kbit/s","19160349.3219","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:13:00 - 11:14:00","44837.2597222222","29 183 840 KByte","29884252186.6190","3 984 567 kbit/s","498070869.7770","28 064 001 KByte","28737537231.1780","3 831 672 kbit/s","478958953.8530","1 119 839 KByte","1146714955.4410","152 895 kbit/s","19111915.9240","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:14:00 - 11:15:00","44837.2604166667","29 498 272 KByte","30206230613.7730","4 028 169 kbit/s","503521097.0791","28 368 666 KByte","29049513529.2334","3 873 914 kbit/s","484239265.3648","1 129 607 KByte","1156717084.5397","154 255 kbit/s","19281831.7143","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:15:00 - 11:16:00","44837.2611111111","29 935 764 KByte","30654222194.5858","4 087 230 kbit/s","510903703.2431","28 790 782 KByte","29481760778.4708","3 930 901 kbit/s","491362679.6412","1 144 982 KByte","1172461416.1150","156 328 kbit/s","19541023.6019","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:16:00 - 11:17:00","44837.2618055556","30 185 176 KByte","30909620153.3992","4 121 970 kbit/s","515246210.2584","29 037 381 KByte","29734278149.6758","3 965 231 kbit/s","495653911.4798","1 147 795 KByte","1175342003.7233","156 738 kbit/s","19592298.7785","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:17:00 - 11:18:00","44837.2625000000","28 504 375 KByte","29188479787.7400","3 892 446 kbit/s","486555755.7550","27 421 996 KByte","28080124107.5873","3 744 641 kbit/s","468080081.8068","1 082 379 KByte","1108355680.1527","147 805 kbit/s","18475673.9482","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:18:00 - 11:19:00","44837.2631944444","28 834 939 KByte","29526977307.5036","3 936 930 kbit/s","492116288.4584","27 737 338 KByte","28403033678.5194","3 787 071 kbit/s","473383894.6420","1 097 601 KByte","1123943628.9842","149 859 kbit/s","18732393.8164","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:19:00 - 11:20:00","44837.2638888889","30 058 948 KByte","30780362509.3704","4 104 732 kbit/s","513091557.0824","28 909 175 KByte","29602995018.3869","3 947 724 kbit/s","493465494.5555","1 149 773 KByte","1177367490.9835","157 009 kbit/s","19626062.5268","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:20:00 - 11:21:00","44837.2645833333","30 412 606 KByte","31142508239.0459","4 152 334 kbit/s","519041803.9841","29 246 218 KByte","29948127469.2317","3 993 084 kbit/s","499135457.8205","1 166 387 KByte","1194380769.8142","159 251 kbit/s","19906346.1636","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:21:00 - 11:22:00","44837.2652777778","30 541 592 KByte","31274589838.8981","4 169 945 kbit/s","521243163.9816","29 367 053 KByte","30071862043.5287","4 009 582 kbit/s","501197700.7255","1 174 539 KByte","1202727795.3695","160 364 kbit/s","20045463.2562","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:22:00 - 11:23:00","44837.2659722222","30 664 817 KByte","31400772724.2577","4 187 468 kbit/s","523433450.9795","29 487 419 KByte","30195117496.1918","4 026 687 kbit/s","503335847.5778","1 177 398 KByte","1205655228.0659","160 781 kbit/s","20097603.4017","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:23:00 - 11:24:00","44837.2666666667","30 561 398 KByte","31294871046.2910","4 173 345 kbit/s","521668128.7930","29 389 295 KByte","30094638135.0241","4 013 287 kbit/s","501660912.4025","1 172 102 KByte","1200232911.2669","160 058 kbit/s","20007216.3905","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:24:00 - 11:25:00","44837.2673611111","28 542 367 KByte","29227383873.9989","3 897 634 kbit/s","487204265.2775","27 444 251 KByte","28102912772.9788","3 747 680 kbit/s","468459956.2090","1 098 116 KByte","1124471101.0201","149 954 kbit/s","18744309.0685","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:25:00 - 11:26:00","44837.2680555556","28 422 257 KByte","29104391020.0142","3 880 585 kbit/s","485073183.6669","27 324 671 KByte","27980463382.2360","3 730 728 kbit/s","466341056.3706","1 097 586 KByte","1123927637.7782","149 857 kbit/s","18732127.2963","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:26:00 - 11:27:00","44837.2687500000","29 864 883 KByte","30581640289.7968","4 077 552 kbit/s","509694004.8299","28 714 552 KByte","29403700855.0473","3 920 493 kbit/s","490061680.9175","1 150 331 KByte","1177939434.7495","157 059 kbit/s","19632323.9125","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:27:00 - 11:28:00","44837.2694444444","30 506 002 KByte","31238146298.9380","4 165 086 kbit/s","520635771.6490","29 341 559 KByte","30045756111.6240","4 006 101 kbit/s","500762601.8604","1 164 444 KByte","1192390187.3140","158 985 kbit/s","19873169.7886","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:28:00 - 11:29:00","44837.2701388889","30 719 300 KByte","31456563221.4806","4 194 908 kbit/s","524363447.5993","29 547 954 KByte","30257104555.9983","4 034 953 kbit/s","504369137.4562","1 171 346 KByte","1199458665.4823","159 954 kbit/s","19994310.1431","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:29:00 - 11:30:00","44837.2708333333","30 479 645 KByte","31211156156.9341","4 161 487 kbit/s","520185935.9489","29 314 152 KByte","30017691187.9707","4 002 359 kbit/s","500294853.1328","1 165 493 KByte","1193464968.9634","159 129 kbit/s","19891082.8161","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:30:00 - 11:31:00","44837.2715277778","29 960 493 KByte","30679544587.3201","4 091 288 kbit/s","511410978.2850","28 807 773 KByte","29499159048.5190","3 933 877 kbit/s","491734606.5764","1 152 720 KByte","1180385538.8011","157 411 kbit/s","19676371.7086","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:31:00 - 11:32:00","44837.2722222222","28 533 240 KByte","29218038169.3439","3 896 388 kbit/s","487048477.5687","27 436 555 KByte","28095032373.8761","3 746 629 kbit/s","468328594.3303","1 096 685 KByte","1123005795.4677","149 759 kbit/s","18719883.2383","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:32:00 - 11:33:00","44837.2729166667","29 195 306 KByte","29895993392.8148","3 986 132 kbit/s","498266556.5469","28 076 432 KByte","28750266373.1778","3 833 369 kbit/s","479171106.2196","1 118 874 KByte","1145727019.6370","152 764 kbit/s","19095450.3273","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:33:00 - 11:34:00","44837.2736111111","30 028 269 KByte","30748947391.3070","4 100 543 kbit/s","512567884.5025","28 871 442 KByte","29564356219.9700","3 942 571 kbit/s","492821407.2340","1 156 827 KByte","1184591171.3370","157 972 kbit/s","19746477.2685","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:34:00 - 11:35:00","44837.2743055556","29 185 909 KByte","29886370538.8297","3 984 849 kbit/s","498106175.6472","28 058 621 KByte","28732027473.3878","3 830 937 kbit/s","478867124.5565","1 127 288 KByte","1154343065.4419","153 912 kbit/s","19239051.0907","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:35:00 - 11:36:00","44837.2750000000","28 880 427 KByte","29573557277.5253","3 943 798 kbit/s","492974783.7560","27 768 487 KByte","28434930458.4482","3 791 956 kbit/s","473994506.7253","1 111 940 KByte","1138626819.0771","151 842 kbit/s","18980277.0308","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:36:00 - 11:37:00","44837.2756944444","28 754 172 KByte","29444272009.2978","3 925 903 kbit/s","490737866.8216","27 647 521 KByte","28311061607.4214","3 774 808 kbit/s","471851026.7904","1 106 651 KByte","1133210401.8764","151 095 kbit/s","18886840.0313","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:37:00 - 11:38:00","44837.2763888889","28 862 464 KByte","29555163119.6542","3 941 345 kbit/s","492668163.3548","27 749 401 KByte","28415386734.5966","3 789 350 kbit/s","473668723.6972","1 113 063 KByte","1139776385.0576","151 996 kbit/s","18999439.6576","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:38:00 - 11:39:00","44837.2770833333","27 526 634 KByte","28187272937.6461","3 758 303 kbit/s","469787882.2941","26 466 453 KByte","27101648218.7546","3 613 553 kbit/s","451694136.9792","1 060 180 KByte","1085624718.8915","144 750 kbit/s","18093745.3149","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:39:00 - 11:40:00","44837.2777777778","27 662 526 KByte","28326426765.3095","3 776 857 kbit/s","472107112.7552","26 597 695 KByte","27236040026.0350","3 631 472 kbit/s","453934000.4339","1 064 831 KByte","1090386739.2746","145 385 kbit/s","18173112.3212","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:40:00 - 11:41:00","44837.2784722222","29 170 424 KByte","29870514639.8633","3 983 399 kbit/s","497924898.1474","28 049 519 KByte","28722707366.5335","3 830 333 kbit/s","478791588.0402","1 120 906 KByte","1147807273.3298","153 066 kbit/s","19133310.1072","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:41:00 - 11:42:00","44837.2791666667","29 646 926 KByte","30358451811.3444","4 048 468 kbit/s","506058539.9457","28 511 072 KByte","29195338033.0447","3 893 361 kbit/s","486670078.8972","1 135 853 KByte","1163113778.2997","155 108 kbit/s","19388461.0485","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:42:00 - 11:43:00","44837.2798611111","29 414 982 KByte","30120941458.2062","4 016 795 kbit/s","502099374.1991","28 286 312 KByte","28965183051.0154","3 862 668 kbit/s","482833523.1041","1 128 670 KByte","1155758407.1909","154 127 kbit/s","19265851.0950","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:43:00 - 11:44:00","44837.2805555556","29 054 645 KByte","29751956079.3209","3 967 589 kbit/s","495948592.7541","27 933 966 KByte","28604381209.1005","3 814 553 kbit/s","476819156.6778","1 120 679 KByte","1147574870.2204","153 035 kbit/s","19129436.0764","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:44:00 - 11:45:00","44837.2812500000","29 317 981 KByte","30021612131.6876","4 002 882 kbit/s","500360202.1948","28 192 705 KByte","28869330002.4029","3 849 244 kbit/s","481155500.0400","1 125 276 KByte","1152282129.2846","153 638 kbit/s","19204702.1547","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:45:00 - 11:46:00","44837.2819444444","28 634 299 KByte","29321522155.4650","3 909 536 kbit/s","488692035.9244","27 543 636 KByte","28204682752.3568","3 760 624 kbit/s","470078045.8726","1 090 663 KByte","1116839403.1082","148 912 kbit/s","18613990.0518","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:46:00 - 11:47:00","44837.2826388889","28 931 805 KByte","29626167873.7680","3 950 156 kbit/s","493769464.5628","27 827 571 KByte","28495432782.9008","3 799 391 kbit/s","474923879.7150","1 104 233 KByte","1130735090.8672","150 765 kbit/s","18845584.8478","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:47:00 - 11:48:00","44837.2833333333","29 913 082 KByte","30630995717.2990","4 084 133 kbit/s","510516595.2883","28 774 737 KByte","29465330402.5339","3 928 711 kbit/s","491088840.0422","1 138 345 KByte","1165665314.7652","155 422 kbit/s","19427755.2461","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:48:00 - 11:49:00","44837.2840277778","29 774 185 KByte","30488765827.0342","4 065 169 kbit/s","508146097.1172","28 638 161 KByte","29325476683.1103","3 910 064 kbit/s","488757944.7185","1 136 025 KByte","1163289143.9239","155 105 kbit/s","19388152.3987","0 %","0.0000","100 %","0000010000"
"03.10.2022 11:49:00 - 11:50:00","44837.2847222222","29 868 623 KByte","30585470311.0042","4 078 742 kbit/s","509842812.3188","28 723 646 KByte","29413013653.7410","3 922 389 kbit/s","490298610.6641","1 144 977 KByte","1172456657.2632","156 354 kbit/s","19544201.6547","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:50:00 - 11:51:00","44837.2854166667","29 677 881 KByte","30390150420.6543","4 052 696 kbit/s","506586938.1673","28 538 872 KByte","29223804793.6669","3 897 157 kbit/s","487144603.9951","1 139 009 KByte","1166345626.9873","155 539 kbit/s","19442334.1722","0 %","0.0000","100 %","0000009998"
"03.10.2022 11:51:00 - 11:52:00","44837.2861111111","29 427 985 KByte","30134256394.1133","4 018 571 kbit/s","502321326.7897","28 295 616 KByte","28974710834.5908","3 863 939 kbit/s","482992345.9675","1 132 369 KByte","1159545559.5225","154 632 kbit/s","19328980.8222","0 %","0.0000","100 %","0000009998"
